Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,CLE,Kyrie Irving,Duke,G,27.5,17.5,3.4,4.3
2,MIN,Derrick Williams,Arizona,F,30.0,19.5,8.3,1.1
3,UTA,Enes Kanter,,C,7.8,2.0,1.5,0.1
4,CLE,Tristan Thompson,Texas,F,30.7,13.1,7.8,1.3
5,TOR,Jonas Valanciunas,,C,15.4,7.7,5.8,0.2
6,WAS,Jan Vesely,,F,27.0,10.1,3.6,1.1
7,SAC,Bismack Biyombo,,C,17.1,6.4,5.1,0.3
8,DET,Brandon Knight,Kentucky,G,35.9,17.3,4.0,4.2
9,CHA,Kemba Walker,UConn,G,37.6,23.5,5.4,4.5
10,MIL,Jimmer Fredette,BYU,G,35.8,28.9,3.4,4.3
11,GSW,Klay Thompson,Washington State,G,34.7,21.6,5.2,3.7
12,UTA,Alec Burks,Colorado,G,31.4,20.5,6.5,2.9
13,PHO,Markieff Morris,Kansas,F,24.4,13.6,8.3,1.4
14,HOU,Marcus Morris,Kansas,F,28.3,17.2,7.6,1.6
