Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,CLE,Andrew Wiggins,Kansas,F,32.8,17.1,5.9,1.5
2,MIL,Jabari Parker,Duke,F,30.7,19.1,8.7,1.2
3,PHI,Joel Embiid,Kansas,C,23.1,11.2,8.1,1.4
4,ORL,Aaron Gordon,Arizona,F,31.2,12.4,8.0,2.0
5,UTA,Dante Exum,,G,12.5,2.7,1.5,2.0
6,BOS,Marcus Smart,Oklahoma State,G,32.7,18.0,5.9,4.8
7,LAL,Julius Randle,Kentucky,F,30.8,15.0,10.4,1.4
8,SAC,Nik Stauskas,Michigan,G,35.6,17.5,2.9,3.3
9,CHH,Noah Vonleh,Indiana,F,26.5,11.3,9.0,0.6
10,PHI,Elfrid Payton,Louisiana,G,35.9,19.2,6.0,5.9
11,DEN,Doug McDermott,Creighton,F,33.7,26.7,7.0,1.6
12,ORL,Dario Saric,,F,32.8,12.9,8.3,2.7
13,MIN,Zach LaVine,UCLA,G,24.4,9.4,2.5,1.8
14,PHO,T.J. Warren,NC State,F,35.4,24.9,7.1,1.1
