Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,MIN,Karl-Anthony Towns,Kentucky,21.1,10.3,6.7,1.1
2,LAL,D'Angelo Russell,Ohio State,33.9,19.3,5.7,5.0
3,PHI,Jahlil Okafor,Duke,30.1,17.3,8.5,1.3
4,NYK,Kristaps Porziņģis,,17.6,18.7,7.8,1.5
5,ORL,Mario Hezonja,,14.7,4.6,1.9,1.3
6,SAC,Willie Cauley-Stein,Kentucky,24.5,8.0,6.2,0.9
7,DEN,Emmanuel Mudiay,,29.5,17.7,6.0,5.9
8,DET,Stanley Johnson,Arizona,28.4,13.8,6.5,1.7
9,CHO,Frank Kaminsky,Wisconsin,20.4,10.1,4.6,1.3
10,MIA,Justise Winslow,Duke,29.1,12.6,6.5,2.1
11,IND,Myles Turner,Texas,22.2,10.1,6.5,0.6
12,UTA,Trey Lyles,Kentucky,23.0,8.7,5.2,1.1
13,PHO,Devin Booker,Kentucky,21.5,10.0,2.0,1.1
14,OKC,Cameron Payne,Murray State,32.4,18.5,3.7,5.7
15,ATL,Kelly Oubre Jr.,Kansas,21.0,9.3,5.0,0.8
