Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,.560,.147,.597,32.4,14.3,7.2,6.9,30.4,.156,3.7,13.4
2,2,LAL,Brandon Ingram,Duke,5,313,10211,5566,1576,1105,.461,.367,.756,34.3,23.8,4.9,4.9,14.8,.070,-0.7,3.4
3,3,BOS,Jaylen Brown,California,5,337,9339,5085,1590,591,.473,.378,.699,34.5,24.7,6.0,3.4,18.7,.096,-0.4,3.9
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,21.7,9.0,5.9,2.1,0.5,.006,-4.0,-1.9
5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,.420,.305,.727,11.3,1.3,1.5,0.5,3.7,.032,-1.9,0.1
6,6,NOP,Buddy Hield,Oklahoma,5,387,11176,6198,1650,951,.435,.406,.863,34.3,16.6,4.7,3.6,15.2,.065,0.4,6.7
7,7,DEN,Jamal Murray,Kentucky,5,345,10384,5639,1258,1322,.446,.367,.878,35.5,21.2,4.0,4.8,20.8,.096,0.2,5.9
8,8,SAC,Marquese Chriss,Washington,5,258,4992,2052,1263,281,.455,.289,.667,13.5,6.5,6.5,1.0,5.7,.055,-2.3,-0.4
9,9,TOR,Jakob Poeltl,Utah,5,348,6439,2120,1890,412,.632,.500,.528,26.7,8.6,7.9,1.9,22.0,.164,0.8,4.6
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,9.5,3.8,2.3,0.5,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,5,353,9670,4790,3063,1170,.525,.321,.725,36.0,20.3,12.0,6.7,27.5,.137,1.3,8.0
12,12,UTA,Taurean Prince,Baylor,5,301,7759,3397,1268,579,.411,.370,.823,23.7,9.5,3.5,1.9,6.1,.038,-1.9,0.1
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,4.0,2.0,1.0,0.1,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,4,232,4595,1726,815,455,.394,.357,.787,16.7,6.5,3.2,1.7,4.3,.045,-1.9,0.1
15,15,DEN,Juan Hernangómez,,5,257,4210,1458,908,171,.430,.351,.693,16.4,5.7,3.5,0.7,7.2,.082,-2.0,0.0
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.9,0.0
