Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,.447,.265,.695,26.9,12.9,3.1,5.4,3.1,.052,-2.2,-0.2
2,2,LAL,Lonzo Ball,UCLA,4,217,6975,2540,1257,1385,.397,.353,.560,31.8,14.6,4.8,5.7,9.2,.063,0.8,4.8
3,3,BOS,Jayson Tatum,Duke,4,289,9453,5594,1811,772,.458,.396,.840,35.8,26.4,7.4,4.3,25.5,.129,2.1,9.8
4,4,PHO,Josh Jackson,Kansas,4,240,5888,2948,1018,480,.418,.298,.676,25.2,13.4,4.1,2.3,-1.7,-.014,-3.8,-2.7
5,5,SAC,De'Aaron Fox,Kentucky,4,263,8242,4781,907,1675,.458,.326,.718,35.1,25.2,3.5,7.2,13.2,.077,0.1,4.5
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,.435,.330,.797,28.8,11.9,6.8,1.4,6.7,.091,0.2,2.0
7,7,MIN,Lauri Markkanen,Arizona,4,221,6511,3439,1559,273,.440,.366,.845,25.8,13.6,5.3,0.9,11.6,.086,-0.2,2.8
8,8,NYK,Frank Ntilikina,,4,211,4119,1155,416,562,.366,.328,.749,9.8,2.7,0.9,0.6,-0.4,-.004,-4.5,-2.6
9,9,DAL,Dennis Smith Jr.,NC State,4,179,4514,2111,548,785,.400,.316,.652,19.6,6.7,2.4,3.3,-1.0,-.010,-2.4,-0.5
10,10,SAC,Zach Collins,Gonzaga,3,154,2691,881,614,139,.444,.324,.722,26.4,7.0,6.3,1.5,3.9,.069,-2.6,-0.4
11,11,CHO,Malik Monk,Kentucky,4,233,4159,2128,461,409,.403,.339,.843,20.9,11.7,2.4,2.1,2.0,.023,-2.7,-0.7
12,12,DET,Luke Kennard,Duke,4,227,5054,2133,618,457,.449,.413,.860,19.6,8.3,2.6,1.7,9.7,.092,-0.7,1.6
13,13,DEN,Donovan Mitchell,Louisville,4,278,9371,6501,1151,1184,.439,.362,.829,33.4,26.4,4.4,5.2,21.8,.112,1.8,9.1
14,14,MIA,Bam Adebayo,Kentucky,4,287,7841,3549,2286,999,.559,.159,.738,33.5,18.7,9.0,5.4,28.3,.173,2.7,9.4
15,15,POR,Justin Jackson,UNC,4,248,4742,1641,630,274,.427,.321,.797,19.1,6.6,2.5,1.1,5.3,.053,-2.8,-1.0
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.6,0.0
17,17,MIL,D.J. Wilson,Michigan,4,142,1749,617,436,103,.411,.329,.598,12.3,4.3,3.1,0.7,2.4,.067,-2.9,-0.4
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,.492,.341,.585,8.5,3.3,1.9,0.3,2.7,.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,4,239,6825,3961,2019,357,.567,.380,.777,28.6,16.6,8.4,1.5,23.1,.162,1.4,5.8
20,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,.511,.258,.671,12.9,5.9,3.8,1.2,3.0,.079,-2.5,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,.404,.334,.753,19.6,4.5,1.3,0.7,4.4,.053,-4.0,-2.1
22,22,BRK,Jarrett Allen,Texas,4,285,7253,3041,2362,375,.611,.200,.696,25.4,10.7,8.3,1.3,26.5,.175,1.2,5.8
23,23,TOR,OG Anunoby,Indiana,4,253,6332,2322,982,304,.480,.375,.692,25.0,9.2,3.9,1.2,13.8,.105,0.0,3.1
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,.500,.400,.333,3.7,0.9,0.7,0.2,0.2,.084,-4.3,-0.1
