Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,NOP,Zion Williamson,Duke,30.0,22.6,8.9,2.1
2,MEM,Ja Morant,Murray State,36.6,24.5,5.7,10.0
3,NYK,RJ Barrett,Duke,35.3,22.6,7.6,4.3
4,LAL,De'Andre Hunter,Virginia,32.5,15.2,5.1,2.0
5,CLE,Darius Garland,Vanderbilt,27.8,16.2,3.8,2.6
6,PHO,Jarrett Culver,Texas Tech,32.5,18.5,6.4,3.7
7,CHI,Coby White,UNC,28.5,16.1,3.5,4.1
8,ATL,Jaxson Hayes,Texas,23.3,10.0,5.0,0.3
9,WAS,Rui Hachimura,Gonzaga,30.2,19.7,6.5,1.5
10,ATL,Cam Reddish,Duke,29.7,13.5,3.7,1.9
11,MIN,Cameron Johnson,UNC,29.9,16.9,5.8,2.4
12,CHO,P.J. Washington,Kentucky,29.3,15.2,7.5,1.8
13,MIA,Tyler Herro,Kentucky,32.6,14.0,4.5,2.5
14,BOS,Romeo Langford,Indiana,34.1,16.5,5.4,2.3
15,DET,Sekou Doumbouya,,18,7.6,3.3,0.7
