Season,Player,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
2020-21,Cade Cunningham, 19,OKSTATE,27,956,175,400,62,155,132,156,19,167,94,43,21,109,67,544,.438,.400,.846,35.4,20.1,6.2,3.5
2020-21,Jalen Green, 19,GLI,15,480,94,204,31,85,29,35,8,61,42,23,4,40,26,269,.461,.365,.829,32,17.9,4.1,2.8
2020-21,Evan Mobley, 19,USC,33,1120,197,341,12,40,134,193,90,286,79,26,95,74,58,540,.578,.300,.694,33.9,16.4,8.7,2.4
2020-21,Scottie Barnes, 19,FLORIDAST,24,595,98,195,11,40,41,66,35,96,98,35,11,59,52,248,.503,.275,.621,24.8,10.3,4.0,4.1
2020-21,Jalen Suggs,20,GONZAGA,30,868,155,308,35,104,86,114,18,160,136,57,10,88,78,431,.503,.337,.754,28.9,14.4,5.3,4.5
2020-21,Josh Giddey,18,AUSTRALIA,28,899,114,267,29,99,47,68,32,206,209,30,13,93,43,304,.427,.293,.691,32.1,10.9,7.4,7.5
2020-21,Jonathan Kuminga,18,GLI,13,426,72,186,16,65,30,48,15,93,35,13,11,34,27,206,.387,.246,.625,32.8,15.8,7.2,2.7
2020-21,Franz Wagner, 19,MICHIGAN,28,887,124,260,35,102,66,79,20,183,84,35,29,36,62,349,.477,.343,.835,31.7,12.5,6.5,3.0
2020-21,Davion Mitchell, 22,BAYLOR,30,991,158,309,63,141,41,64,14,80,165,57,11,73,71,420,.511,.447,.641,33.0,14.0,2.7,5.5
2020-21,Ziare Williams,19,STANFORD,20,558,76,203,23,79,39,49,10,91,44,17,11,58,48,214,.374,.291,.796,27.9,10.7,4.6,2.2
2019-20,James Bouknight, 19,UCONN,28,725,128,277,25,72,83,101,44,115,36,21,6,50,74,364,.462,.347,.822,25.9,13.0,4.1,1.3
2020-21,Joshua Primo,18,ALABAMA,30,674,84,195,43,113,33,44,31,101,25,17,9,41,50,244,.431,.381,.750,22.5,8.1,3.4,0.8
2020-21,Chris Duarte,23,OREGON,26,886,160,301,61,144,64,79,19,120,69,49,21,59,36,445,.532,.424,.810,34.1,17.1,4.6,2.7
2020-21,Moses Moody,18,ARKANSAS,32,1082,165,386,58,162,151,186,64,184,51,33,21,52,74,539,.427,.358,.812,33.8,16.8,5.8,1.6
2020-21,Corey Kispert,21,GONZAGA,32,1019,209,395,91,207,86,98,30,159,58,29,14,42,54,595,.529,.440,.878,31.8,18.6,5.0,1.8
