Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,1,17,533,240,107,78,.371,.287,.844,31.4,14.1,6.3,4.6,-0.5,-.043,-3.1,-0.1
2,2,HOU,Jalen Green,,1,18,555,252,56,42,.382,.278,.807,30.8,14.0,3.1,2.3,-0.4,-.036,-5.8,-0.5
3,3,CLE,Evan Mobley,USC,1,19,642,267,154,50,.477,.333,.776,33.8,14.1,8.1,2.6,1.7,.127,0.9,0.5
4,4,TOR,Scottie Barnes,Florida State,1,21,747,321,171,70,.489,.375,.730,35.6,15.3,8.1,3.3,1.8,.114,0.3,0.4
5,5,ORL,Jalen Suggs,Gonzaga,1,21,583,258,71,75,.339,.255,.763,27.8,12.3,3.4,3.6,-1.0,-.085,-6.8,-0.7
6,6,OKC,Josh Giddey,,1,20,587,207,143,116,.391,.257,.654,29.4,10.4,7.2,5.8,0.1,.007,-2.1,0.0
7,7,GSW,Jonathan Kuminga,,1,14,101,42,23,5,.410,.143,.615,7.2,3.0,1.6,0.4,0.1,.042,-6.7,-0.1
8,8,ORL,Franz Wagner,Michigan,1,24,760,326,104,63,.436,.366,.792,31.7,13.6,4.3,2.6,1.1,.069,-1.5,0.1
9,9,SAC,Davion Mitchell,Baylor,1,24,614,218,63,81,.373,.281,.654,25.6,9.1,2.6,3.4,0.1,.009,-4.5,-0.4
10,10,NOP,Ziaire Williams,Stanford,1,18,335,90,28,12,.357,.246,.667,18.6,5.0,1.6,0.7,-0.2,-.022,-8.0,-0.5
11,11,CHO,James Bouknight,UConn,1,7,12,2,2,2,.000,.000,1.000,1.7,0.3,0.3,0.3,-0.1,-.282,-18.5,-0.1
12,12,SAS,Joshua Primo,Alabama,1,5,26,11,3,2,.800,.750,,5.2,2.2,0.6,0.4,0.1,.246,6.1,0.1
13,13,IND,Chris Duarte,Oregon,1,23,685,302,93,46,.417,.349,.667,29.8,13.1,4.0,2.0,0.2,.016,-3.4,-0.2
14,14,GSW,Moses Moody,Arkansas,1,15,88,23,11,3,.370,.133,.500,5.9,1.5,0.7,0.2,0.0,.023,-7.4,-0.1
