Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,CLE,Anthony Bennett,UNLV,F,27.1,16.1,8.1,1.0
2,ORL,Victor Oladipo,Indiana,G,28.4,13.6,6.3,2.1
3,WAS,Otto Porter,Georgetown,F,35.4,16.2,7.5,2.7
4,CHA,Cody Zeller,Indiana,C,29.5,16.5,8.0,1.3
5,PHO,Alex Len,Maryland,C,26.4,11.9,7.8,1.0
6,NOH,Nerlens Noel,Kentucky,C,31.9,10.5,9.5,1.6
7,SAC,Ben McLemore,Kansas,G,32.2,15.9,5.2,2.0
8,DET,Kentavious Caldwell-Pope,Georgia,G,33.9,18.5,7.1,1.8
9,MIN,Trey Burke,Michigan,G,35.3,18.6,3.2,6.7
10,POR,CJ McCollum,Lehigh,G,31.0,23.9,5.0,2.9
11,PHI,Michael Carter-Williams,Syracuse,G,35.2,11.9,5.0,7.3
12,OKC,Steven Adams,Pitt,C,23.4,7.2,6.3,0.6
13,DAL,Kelly Olynyk,Gonzaga,C,26.4,17.8,7.3,1.7
14,UTA,Shabazz Muhammad,UCLA,G,30.8,17.9,5.2,0.8
