Pk,Tm,Player,College,MP.1,PTS.1,TRB.1,AST.1
1,PHO,Deandre Ayton,Arizona,33.5,20.1,11.6,1.6
2,SAC,Marvin Bagley III,Duke,33.9,21.0,11.1,1.5
3,ATL,Luka Dončić,,9.9,14.4,5.3,4.7
4,MEM,Jaren Jackson Jr.,Michigan State,21.8,10.9,5.8,1.1
5,DAL,Trae Young,Oklahoma,35.4,27.4,3.9,8.7
6,ORL,Mo Bamba,Texas,30.2,12.9,10.5,0.5
7,CHI,Wendell Carter Jr.,Duke,26.9,13.5,9.1,2.0
8,CLE,Collin Sexton,Alabama,29.9,19.2,3.8,3.6
9,NYK,Kevin Knox,Kentucky,32.4,15.6,5.4,1.4
10,PHI,Mikal Bridges,Villanova,32.1,17.7,5.1,1.9
11,CHO,Shai Gilgeous-Alexander,Kentucky,33.7,14.4,4.1,5.1
12,LAC,Miles Bridges,Michigan State,31.6,17.0,7.0,2.7
13,LAC,Jerome Robinson,Boston College,36.0,20.7,3.6,3.3
14,DEN,Michael Porter Jr.,Missouri,17.7,10.0,6.7,0.3
15,WAS,Troy Brown Jr.,Oregon,31.2,11.3,6.2,3.2
