Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,3,178,5534,2846,1892,296,.588,.189,.756,30.7,14.4,10.5,1.4,17.4,.151,0.5,3.5
2,2,SAC,Marvin Bagley III,Duke,3,118,3013,1716,886,115,.500,.314,.663,25.9,14.1,7.4,1.0,5.3,.085,-2.1,-0.1
3,3,ATL,Luka Dončić,,3,199,6627,5115,1663,1534,.457,.331,.735,34.3,27.7,8.0,8.6,21.4,.155,6.3,13.8
4,4,MEM,Jaren Jackson Jr.,Michigan State,3,126,3395,1946,596,154,.480,.374,.765,23.5,14.4,5.6,1.1,7.5,.106,0.1,1.8
5,5,DAL,Trae Young,Oklahoma,3,204,6748,4921,801,1807,.431,.343,.861,33.7,25.3,3.9,9.4,16.3,.116,2.2,7.0
6,6,ORL,Mo Bamba,Texas,3,155,2369,991,800,116,.471,.325,.646,15.8,8.0,5.8,0.8,5.9,.120,-0.3,1.0
7,7,CHI,Wendell Carter Jr.,Duke,3,141,3741,1545,1155,233,.506,.241,.749,25.7,11.2,8.2,1.9,8.6,.110,-1.9,0.1
8,8,CLE,Collin Sexton,Alabama,3,207,6863,4180,627,697,.458,.385,.831,35.3,24.3,3.1,4.4,5.4,.038,-2.3,-0.6
9,9,NYK,Kevin Knox,Kentucky,3,182,3788,1545,580,162,.369,.345,.703,11.0,3.9,1.5,0.5,-0.6,-.007,-4.8,-2.6
10,10,PHI,Mikal Bridges,Villanova,3,227,6807,2321,865,454,.497,.376,.830,32.6,13.5,4.3,2.1,15.7,.111,0.7,4.7
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,5782,3050,810,709,.482,.373,.805,33.7,23.7,4.7,3.8,13.0,.108,1.3,4.8
12,12,LAC,Miles Bridges,Michigan State,3,211,5623,2280,1082,356,.461,.354,.816,29.3,12.7,6.0,2.2,8.8,.075,-1.1,1.3
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,17.9,4.9,2.2,1.5,-0.1,-.003,-4.8,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,2,116,2815,1674,704,116,.532,.439,.806,31.3,19.0,7.3,1.1,9.8,.167,2.5,3.2
15,15,WAS,Troy Brown Jr.,Oregon,3,155,3036,1125,633,287,.432,.330,.754,19.6,7.3,4.1,1.9,3.5,.055,-2.1,-0.1
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.2
17,17,MIL,Donte DiVincenzo,Villanova,3,159,3745,1429,763,388,.432,.349,.728,23.6,9.0,4.8,2.4,8.5,.108,0.3,2.2
18,18,SAS,Lonnie Walker,Miami (FL),3,138,2628,1103,311,178,.419,.369,.773,19.0,8.0,2.3,1.3,0.7,.014,-3.6,-1.1
19,19,ATL,Kevin Huerter,Maryland,3,200,5934,2233,704,668,.422,.376,.783,29.7,11.2,3.5,3.3,6.6,.053,-1.5,0.8
20,20,MIN,Josh Okogie,Georgia Tech,3,195,4501,1419,642,253,.403,.273,.766,23.1,7.3,3.3,1.3,4.7,.050,-3.0,-1.2
21,21,UTA,Grayson Allen,Duke,3,126,2393,1073,268,185,.423,.381,.832,19.0,8.5,2.1,1.5,3.9,.078,-1.8,0.2
22,22,CHI,Chandler Hutchison,Boise State,3,97,1768,554,371,77,.441,.309,.638,18.2,5.7,3.8,0.8,1.2,.032,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,3,182,3439,1396,312,435,.403,.372,.832,18.9,7.7,1.7,2.4,3.2,.045,-2.5,-0.4
24,24,POR,Anfernee Simons,,3,154,2694,1156,305,199,.410,.382,.794,17.5,7.5,2.0,1.3,2.0,.036,-3.2,-0.8
25,25,LAL,Moritz Wagner,Michigan,3,133,2003,910,450,130,.480,.315,.817,15.1,6.8,3.4,1.0,3.1,.075,-2.9,-0.4
26,26,PHI,Landry Shamet,Wichita State,3,193,4657,1781,346,315,.416,.397,.834,24.1,9.2,1.8,1.6,8.0,.083,-2.0,0.0
27,27,BOS,Robert Williams,Texas A&M,3,113,1656,648,567,128,.720,.000,.623,14.7,5.7,5.0,1.1,8.5,.247,5.1,3.0
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
