Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,NOP,Zion Williamson,Duke,F,27.8,22.5,6.3,2.1
2,MEM,Ja Morant,Murray State,G,31.0,17.8,7.3,0.9
3,NYK,RJ Barrett,Duke,G,30.4,14.3,5.0,2.6
4,LAL,De'Andre Hunter,Virginia,F,32.0,12.3,5.1,2.0
5,CLE,Darius Garland,Vanderbilt,G,30.9,12.3,1.9,3.9
6,PHO,Jarrett Culver,Texas Tech,G,23.9,9.2,3.4,1.7
7,CHI,Coby White,UNC,G,25.8,13.2,3.5,2.7
8,ATL,Jaxson Hayes,Texas,C,16.9,7.4,4.0,0.9
9,WAS,Rui Hachimura,Gonzaga,F,30.1,13.5,6.1,1.8
10,ATL,Cam Reddish,Duke,F,26.7,10.5,3.7,1.5
11,MIN,Cameron Johnson,UNC,F,22.0,8.8,3.3,1.2
12,CHO,P.J. Washington,Kentucky,F,30.3,12.2,5.4,2.1
13,MIA,Tyler Herro,Kentucky,G,27.4,13.5,4.1,2.1
14,BOS,Romeo Langford,Indiana,G,11.6,2.5,1.2,0.4
1,PHO,Deandre Ayton,Arizona,C,30.7,16.3,10.3,1.8
2,SAC,Marvin Bagley III,Duke,F,25.3,14.9,7.6,1.0
3,ATL,Luka Dončić,,G,32.2,21.2,7.8,6.0
4,MEM,Jaren Jackson Jr.,Michigan State,F,26.1,13.8,4.7,1.1
5,DAL,Trae Young,Oklahoma,G,30.9,19.1,3.7,8.1
6,ORL,Mo Bamba,Texas,C,16.3,6.2,5.0,0.8
7,CHI,Wendell Carter Jr.,Duke,C,25.2,10.3,7.0,1.8
8,CLE,Collin Sexton,Alabama,G,31.8,16.7,2.9,3.0
9,NYK,Kevin Knox,Kentucky,F,28.8,12.8,4.5,1.1
10,PHI,Mikal Bridges,Villanova,F,29.5,8.3,3.2,2.1
11,CHO,Shai Gilgeous-Alexander,Kentucky,G,26.5,10.8,2.8,3.3
12,LAC,Miles Bridges,Michigan State,F,21.2,7.5,4.0,1.2
13,LAC,Jerome Robinson,Boston College,G,9.7,3.4,1.2,0.6
14,DEN,Michael Porter Jr.,Missouri,F,16.4,9.3,4.7,0.8
1,PHI,Markelle Fultz,Washington,G,18.1,7.1,3.1,3.8
2,LAL,Lonzo Ball,UCLA,G,34.2,10.2,6.9,7.2
3,BOS,Jayson Tatum,Duke,F,30.5,13.9,5.0,1.6
4,PHO,Josh Jackson,Kansas,F,25.4,13.1,4.6,1.5
5,SAC,De'Aaron Fox,Kentucky,G,27.8,11.6,2.8,4.4
6,ORL,Jonathan Isaac,Florida State,F,19.9,5.4,3.7,0.7
7,MIN,Lauri Markkanen,Arizona,F,29.7,15.2,7.5,1.2
8,NYK,Frank Ntilikina,,G,21.9,5.9,2.3,3.2
9,DAL,Dennis Smith Jr.,NC State,G,29.7,15.2,3.8,5.2
10,SAC,Zach Collins,Gonzaga,C,15.8,4.4,3.3,0.8
11,CHO,Malik Monk,Kentucky,G,13.6,6.7,1.0,1.4
12,DET,Luke Kennard,Duke,G,20.0,7.6,2.4,1.7
13,DEN,Donovan Mitchell,Louisville,G,33.4,20.5,3.7,3.7
14,MIA,Bam Adebayo,Kentucky,C,19.8,6.9,5.5,1.5
1,PHI,Ben Simmons,LSU,G,33.7,15.8,8.1,8.2
2,LAL,Brandon Ingram,Duke,F,28.8,9.4,4.0,2.9
3,BOS,Jaylen Brown,California,G,17.2,6.6,2.8,0.8
4,PHO,Dragan Bender,,F,13.3,3.4,2.4,0.5
5,MIN,Kris Dunn,Providence,G,17.1,3.8,2.1,2.4
6,NOP,Buddy Hield,Oklahoma,G,23.0,10.6,3.3,1.5
7,DEN,Jamal Murray,Kentucky,G,21.5,9.9,2.6,2.1
8,SAC,Marquese Chriss,Washington,F,21.3,9.2,4.2,0.7
9,TOR,Jakob Poeltl,Utah,C,11.6,3.1,3.1,0.2
10,MIL,Thon Maker,,F,9.9,4.0,2.0,0.4
11,ORL,Domantas Sabonis,Gonzaga,C,20.1,5.9,3.6,1.0
12,UTA,Taurean Prince,Baylor,F,16.6,5.7,2.7,0.9
13,PHO,Georgios Papagiannis,,C,16.1,5.6,3.9,0.9
14,CHI,Denzel Valentine,Michigan State,G,17.1,5.1,2.6,1.1
