Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,CLE,Andrew Wiggins,Kansas,F,34.4,21.8,5.1,3.7
2,MIL,Jabari Parker,Duke,F,24.1,14.0,5.6,1.8
3,PHI,Joel Embiid,Kansas,C,29.5,23.0,11.6,3.0
4,ORL,Aaron Gordon,Arizona,F,32.5,14.4,7.7,3.7
5,UTA,Dante Exum,,G,13.9,4.5,1.9,1.1
6,BOS,Marcus Smart,Oklahoma State,G,32.0,12.9,3.8,4.9
7,LAL,Julius Randle,Kentucky,F,32.5,19.5,9.7,3.1
8,SAC,Nik Stauskas,Michigan,G,14.9,5.9,1.9,1.2
9,CHH,Noah Vonleh,Indiana,F,10.5,3.7,3.4,0.8
10,PHI,Elfrid Payton,Louisiana,G,27.7,10.0,4.7,7.2
11,DEN,Doug McDermott,Creighton,F,19.9,10.3,2.5,1.1
12,ORL,Dario Saric,,F,24.7,10.7,6.2,1.9
13,MIN,Zach LaVine,UCLA,G,34.8,25.5,4.8,4.2
14,PHO,T.J. Warren,NC State,F,32.9,19.8,4.2,1.5
1,CLE,Anthony Bennett,UNLV,F,11.5,5.0,3.4,0.5
2,ORL,Victor Oladipo,Indiana,G,31.9,18.8,5.6,5.2
3,WAS,Otto Porter,Georgetown,F,30.1,13.9,5.6,2.1
4,CHA,Cody Zeller,Indiana,C,25.4,10.1,6.8,2.1
5,PHO,Alex Len,Maryland,C,20.1,11.1,5.5,1.1
6,NOH,Nerlens Noel,Kentucky,C,13.7,4.9,4.2,0.6
7,SAC,Ben McLemore,Kansas,G,8.3,3.9,0.9,0.2
8,DET,Kentavious Caldwell-Pope,Georgia,G,24.8,11.4,2.9,1.3
9,MIN,Trey Burke,Michigan,G,19.4,10.9,1.7,2.7
10,POR,CJ McCollum,Lehigh,G,33.9,21.0,4.0,3.0
11,PHI,Michael Carter-Williams,Syracuse,G,13.3,4.8,2.5,2.5
12,OKC,Steven Adams,Pitt,C,33.4,13.9,9.5,1.6
13,DAL,Kelly Olynyk,Gonzaga,C,22.9,10.0,4.7,1.8
14,UTA,Shabazz Muhammad,UCLA,G,9.7,5.0,1.8,0.3
1,NOH,Anthony Davis,Kentucky,C,36.4,28.1,11.1,2.3
2,CHA,Michael Kidd-Gilchrist,Kentucky,F,25.0,9.2,4.1,1.0
3,WAS,Bradley Beal,Florida,G,36.3,22.6,4.4,4.5
4,CLE,Dion Waiters,Syracuse,G,30.6,14.3,2.6,3.8
5,SAC,Thomas Robinson,Kansas,F,11.7,5.0,4.6,0.6
6,POR,Damian Lillard,Weber,G,36.6,26.9,4.5,6.6
7,GSW,Harrison Barnes,UNC,F,34.2,18.9,6.1,2.0
8,TOR,Terrence Ross,Washington,G,25.0,8.7,3.0,1.6
9,DET,Andre Drummond,Connecticut,C,33.7,15.0,16.0,3.0
10,NOH,Austin Rivers,Duke,G,33.7,15.1,2.4,4.0
11,POR,Meyers Leonard,Illinois,C,7.7,3.4,2.1,0.5
12,HOU,Jeremy Lamb,Connecticut,G,24.6,12.9,4.1,2.3
13,PHO,Kendall Marshall,UNC,G,13.3,3.7,0.9,2.4
14,MIL,John Henson,UNC,C,25.9,8.8,6.8,1.5
1,CLE,Kyrie Irving,Duke,G,35.1,25.2,3.2,5.8
2,MIN,Derrick Williams,Arizona,F,16.1,6.1,2.6,0.6
3,UTA,Enes Kanter,,C,21.3,14.3,6.7,0.9
4,CLE,Tristan Thompson,Texas,F,29.9,8.1,9.2,1.0
5,TOR,Jonas Valanciunas,,C,22.4,12.7,8.6,1.1
6,WAS,Jan Vesely,,F,14.4,3.6,3.5,0.4
7,SAC,Bismack Biyombo,,C,22.1,6.0,7.0,0.9
8,DET,Brandon Knight,Kentucky,G,21.1,11.0,2.2,2.4
9,CHA,Kemba Walker,UConn,G,34.7,23.2,3.9,5.5
10,MIL,Jimmer Fredette,BYU,G,3.0,1.5,0.1,0.2
11,GSW,Klay Thompson,Washington State,G,34.0,22.3,3.7,2.1
12,UTA,Alec Burks,Colorado,G,15.5,6.7,2.9,0.7
13,PHO,Markieff Morris,Kansas,F,31.2,14.0,6.5,1.7
14,HOU,Marcus Morris,Kansas,F,32.5,14.0,4.6,2.0







